#START7777
#--------------------------------------------------------------------------------------------------
#  기상청 지상관측 일자료 [입력인수형태][예] ?tm=20100715&stn=0&help=1
#--------------------------------------------------------------------------------------------------
#  1. TM            : 관측일 (KST)
#  2. STN           : 국내 지점번호
#  3. WS_AVG        : 일 평균 풍속 (m/s)
#  4. WR_DAY        : 일 풍정 (m)
#  5. WD_MAX        : 최대풍향
#  6. WS_MAX        : 최대풍속 (m/s)
#  7. WS_MAX_TM     : 최대풍속 시각 (시분)
#  8. WD_INS        : 최대순간풍향
#  9. WS_INS        : 최대순간풍속 (m/s)
# 10. WS_INS_TM     : 최대순간풍속 시각 (시분)
# 11. TA_AVG        : 일 평균기온 (C)
# 12. TA_MAX        : 최고기온 (C)
# 13. TA_MAX_TM     : 최고기온 시가 (시분)
# 14. TA_MIN        : 최저기온 (C)
# 15. TA_MIN_TM     : 최저기온 시각 (시분)
# 16. TD_AVG        : 일 평균 이슬점온도 (C)
# 17. TS_AVG        : 일 평균 지면온도 (C)
# 18. TG_MIN        : 일 최저 초상온도 (C)
# 19. HM_AVG        : 일 평균 상대습도 (%)
# 20. HM_MIN        : 최저습도 (%)
# 21. HM_MIN_TM     : 최저습도 시각 (시분)
# 22. PV_AVG        : 일 평균 수증기압 (hPa)
# 23. EV_S          : 소형 증발량 (mm)
# 24. EV_L          : 대형 증발량 (mm)
# 25. FG_DUR        : 안개계속시간 (hr)
# 26. PA_AVG        : 일 평균 현지기압 (hPa)
# 27. PS_AVG        : 일 평균 해면기압 (hPa)
# 28. PS_MAX        : 최고 해면기압 (hPa)
# 29. PS_MAX_TM     : 최고 해면기압 시각 (시분)
# 30. PS_MIN        : 최저 해면기압 (hPa)
# 31. PS_MIN_TM     : 최저 해면기압 시각 (시분)
# 32. CA_TOT        : 일 평균 전운량 (1/10)
# 33. SS_DAY        : 일조합 (hr)
# 34. SS_DUR        : 가조시간 (hr)
# 35. SS_CMB        : 캄벨 일조 (hr)
# 36. SI_DAY        : 일사합 (MJ/m2)
# 37. SI_60M_MAX    : 최대 1시간일사 (MJ/m2)
# 38. SI_60M_MAX_TM : 최대 1시간일사 시각 (시분)
# 39. RN_DAY        : 일 강수량 (mm)
# 40. RN_D99        : 9-9 강수량 (mm)
# 41. RN_DUR        : 강수계속시간 (hr)
# 42. RN_60M_MAX    : 1시간 최다강수량 (mm)
# 43. RN_60M_MAX_TM : 1시간 최다강수량 시각 (시분)
# 44. RN_10M_MAX    : 10분간 최다강수량 (mm)
# 45. RN_10M_MAX_TM : 10분간 최다강수량 시각 (시분)
# 46. RN_POW_MAX    : 최대 강우강도 (mm/h)
# 47. RN_POW_MAX_TM : 최대 강우강도 시각 (시분)
# 48. SD_NEW        : 최심 신적설 (cm)
# 49. SD_NEW_TM     : 최심 신적설 시각 (시분)
# 50. SD_MAX        : 최심 적설 (cm)
# 51. SD_MAX_TM     : 최심 적설 시각 (시분)
# 52. TE_05         : 0.5m 지중온도 (C) 
# 53. TE_10         : 1.0m 지중온도 (C)
# 54. TE_15         : 1.5m 지중온도 (C)
# 55. TE_30         : 3.0m 지중온도 (C)
# 56. TE_50         : 5.0m 지중온도 (C)
#--------------------------------------------------------------------------------------------------
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123
# YYMMDD STN   WS    WR  WD   WS   WS  WD   WS   WS    TA    TA   TA    TA   TA    TD    TS    TG    HM    HM   HM    PV  EV_S  EV_L    FG     PA     PS     PS   PS     PS   PS   CA   SS   SS   SS    SI    SI   SI     RN     RN    RN     RN   RN     RN   RN     RN   RN     SD   SD     SD   SD    TE    TE    TE    TE    TE
#    KST  ID  AVG   DAY MAX  MAX  MAX INS  INS  INS   AVG   MAX  MAX   MIN  MIN   AVG   AVG   MIN   AVG   MIN  MIN   AVG               DUR    AVG    AVG    MAX  MAX    MIN  MIN  TOT  DAY  DUR  CMB   DAY   60M  60M    DAY    D99   DUR    60M  60M    10M  10M    POW  POW    NEW  NEW    MAX  MAX     5    10    15    30    50
#             m/s     m  16  m/s   TM  16  m/s   TM     C     C   TM     C   TM     C     C     C     %     %   TM   hPa    mm    mm    hr    hPa    hPa    hPa   TM    hPa   TM    %   hr   hr   hr         MAX   TM     mm     mm    hr     mm   TM     mm   TM     mm   TM     cm   TM     cm   TM     C     C     C     C     C
19500101 108  1.1   950  34  4.0 2230   0 -9.0   -9   2.8   4.5  655   0.7 2305 -99.0   0.4  -0.1  84.3  62.0   -9   6.5   2.2  -9.0 -9.00 1011.5 1011.5 1013.4   -9 1010.3   -9  6.7  0.0 -9.0 -9.0 -9.00 -9.00   -9    0.7   -9.0 -9.00   -9.0   -9   -9.0   -9  -99.9 -999   -9.0   -9   -9.0   -9   0.4   5.0   9.5  13.7  15.4
19500102 108  2.3  1987  32  5.0 1340   0 -9.0   -9  -0.1   2.4 1437  -3.8 2400 -99.0   0.6  -9.7  81.7  68.0   -9   4.9   1.5  -9.0 -9.00 1014.0 1014.0 1016.3   -9 1012.7   -9  6.0  4.4 -9.0 -9.0 -9.00 -9.00   -9   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   0.7   4.8  10.7  13.7  15.4
19500103 108  3.9  3370  29  6.5 2120   0 -9.0   -9  -4.6  -0.7 1403  -7.3  739 -99.0  -2.4  -9.5  52.3  31.0   -9   2.2   1.6  -9.0 -9.00 1020.1 1020.1 1026.0   -9 1016.3   -9  2.0  7.4 -9.0 -9.0 -9.00 -9.00   -9    0.0   -9.0 -9.00   -9.0   -9   -9.0   -9  -99.9 -999   -9.0   -9   -9.0   -9  -0.2   4.5  10.4  13.5  15.3
19500104 108  2.7  2333  27  5.3 1550   0 -9.0   -9  -7.7  -4.2 1425 -11.2  805 -99.0  -5.5 -15.0  39.7  25.0   -9   1.3   1.4  -9.0 -9.00 1028.7 1028.7 1030.4   -9 1026.0   -9  4.0  8.0 -9.0 -9.0 -9.00 -9.00   -9   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  -0.1   4.5  10.2  13.5  15.3
19500105 108  3.6  3110  32  8.3 2200   0 -9.0   -9  -7.0  -3.1 1419 -11.6 2400 -99.0  -5.3 -14.3  60.3  40.0   -9   2.4   1.0  -9.0 -9.00 1022.5 1022.5 1029.0   -9 1018.8   -9  6.7  2.5 -9.0 -9.0 -9.00 -9.00   -9    1.0   -9.0 -9.00   -9.0   -9   -9.0   -9  -99.9 -999    0.2 1435    0.2 1435  -0.1   4.5  10.2  13.5  15.3
19500106 108  3.5  3024  32  6.0 1010   0 -9.0   -9 -14.2 -10.8 1608 -16.2 2400 -99.0 -10.4 -21.7  52.3  45.0   -9   1.1   0.9  -9.0 -9.00 1029.9 1029.9 1033.2   -9 1024.6   -9  0.0  9.2 -9.0 -9.0 -9.00 -9.00   -9   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  -1.6   4.3  10.0  13.5  15.3
19500107 108  2.4  2074   9  4.2 1000   0 -9.0   -9 -10.7  -5.5 2400 -18.0  521 -99.0  -6.9 -23.0  73.7  55.0   -9   2.2   2.3  -9.0 -9.00 1028.1 1028.1 1033.2   -9 1023.5   -9  6.7  1.7 -9.0 -9.0 -9.00 -9.00   -9    0.9   -9.0 -9.00   -9.0   -9   -9.0   -9  -99.9 -999    1.1 2400    1.1 2400  -2.0   4.2   9.9  13.5  15.2
19500108 108  0.8   691  27  4.0 1450   0 -9.0   -9  -4.2  -1.4 1503  -7.6 2400 -99.0  -3.6 -15.4  71.7  52.0   -9   3.1   1.0  -9.0 -9.00 1024.4 1024.4 1026.6   -9 1023.0   -9  3.3  6.9 -9.0 -9.0 -9.00 -9.00   -9    0.4   -9.0 -9.00   -9.0   -9   -9.0   -9  -99.9 -999    2.0  435    2.0  435  -0.6   4.4   9.8  13.2  15.1
19500109 108  1.0   864  29  4.2 1340   0 -9.0   -9  -6.0  -1.3 1355 -11.4  528 -99.0  -5.1 -16.8  68.3  46.0   -9   2.6   2.0  -9.0 -9.00 1017.1 1017.1 1025.0   -9 1012.1   -9  5.3  4.7 -9.0 -9.0 -9.00 -9.00   -9   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  -1.5   4.0   9.7  13.2  15.1
19500110 108  3.8  3283  32  7.3 1030   0 -9.0   -9  -6.7  -3.9 1615  -9.3 2400 -99.0  -5.7 -16.6  60.3  42.0   -9   2.2   1.0  -9.0 -9.00 1020.6 1020.6 1025.0   -9 1012.6   -9  0.0  9.2 -9.0 -9.0 -9.00 -9.00   -9   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  -0.2   4.0   9.7  13.0  15.1
